X,Y
324,1
122,51
307,1
297,2
326,1
195,19
328,1
285,2
237,9
183,23
148,37
84,78
74,87
82,80
272,3
281,3
221,12
171,27
335,1
140,41
137,43
205,16
79,82
312,1
314,1
348,1
114,56
351,2
151,36
315,1
232,10
167,29
340,1
295,2
120,53
124,50
248,7
131,46
231,10
271,4
304,1
208,15
132,46
299,2
252,6
263,4
296,2
187,22
155,34
121,52
238,8
338,1
244,7
276,3
80,82
300,1
339,1
337,1
343,1
278,3
228,10
302,1
216,13
76,85
292,2
262,5
89,74
226,11
291,2
219,12
192,20
203,17
288,2
270,4
268,4
321,1
117,54
77,84
207,16
301,1
241,8
331,1
159,32
93,71
200,18
305,1
345,1
253,6
90,73
158,33
318,1
212,14
86,77
143,40
145,39
202,17
136,43
341,1
336,1
176,26
379,4
532,55
355,2
418,10
375,3
386,4
398,6
436,14
533,55
466,23
539,59
434,13
366,2
571,85
565,79
566,80
411,8
484,29
491,32
508,40
559,74
474,25
560,75
473,25
384,4
535,57
406,7
397,6
549,66
389,5
545,63
440,15
431,12
430,12
518,46
387,5
493,33
542,61
400,6
567,81
521,48
553,69
471,24
405,7
512,43
444,16
476,26
367,3
429,12
409,8
574,88
417,9
572,86
487,31
472,25
422,10
361,2
544,63
358,2
402,7
504,38
370,3
506,39
550,67
546,64
502,37
354,2
522,48
537,58
392,5
478,27
523,49
555,71
426,11
401,7
568,82
490,32
391,5
526,51
499,36
503,38
509,41
442,15
443,15
465,22
373,3
385,4
510,42
403,7
488,31
531,54
450,17
381,4
427,11
447,17
369,3
390,5
393,5
378,4
449,17
330,133
262,172
59,102
258,175
312,141
348,136
307,173
323,136
32,135
350,129
331,132
17,160
302,147
296,150
283,158
52,109
347,139
256,176
20,154
36,129
24,146
254,178
257,176
319,138
33,133
349,133
43,120
346,156
41,122
19,155
23,149
303,175
343,127
299,177
346,143
39,125
340,129
25,145
12,169
36,128
324,136
346,148
346,157
11,173
320,137
346,153
350,175
298,178
17,159
317,139
310,143
347,138
24,147
65,95
322,136
287,156
350,128
13,167
282,159
351,126
306,145
289,154
315,140
11,172
346,158
346,160
68,93
49,112
297,178
347,166
346,162
47,115
346,154
348,134
291,153
55,106
304,146
295,151
347,164
28,141
350,125
349,132
30,137
46,116
316,139
285,157
42,121
310,175
22,150
300,177
48,114
53,108
34,131
16,162
270,167
59,101
328,134
345,127
280,160
300,148
646,169
468,162
591,130
521,176
467,141
579,96
497,155
504,163
468,144
463,129
463,121
463,127
587,151
569,174
487,143
598,172
591,141
591,128
484,140
503,162
586,154
622,158
609,164
502,161
632,161
606,166
469,152
469,151
591,140
487,144
465,122
641,166
613,161
585,107
469,125
470,126
506,165
468,161
590,142
499,158
478,133
485,141
467,167
482,138
581,163
608,165
462,125
597,173
653,174
600,171
589,117
496,154
498,156
568,175
590,122
468,163
603,168
588,115
464,131
588,116
488,145
591,178
468,124
460,122
464,177
648,171
588,150
526,178
460,121
461,119
634,162
602,169
515,173
522,177
647,170
617,159
592,131
591,125
657,178
468,164
472,127
584,105
477,132
468,160
469,157
492,150
604,168
480,135
516,173
467,138
587,153
518,175
466,137
467,168
466,123
583,159
643,167
468,146
462,126
459,120
172,251
271,220
12,266
188,235
47,262
46,255
24,199
245,185
316,261
333,217
314,265
13,254
10,210
224,202
318,253
15,206
32,203
339,224
270,197
210,214
285,186
250,225
170,253
3,198
236,192
243,186
194,229
258,222
30,195
338,223
273,194
259,222
47,260
14,251
16,244
272,195
311,179
317,257
344,228
47,261
19,233
251,225
317,258
15,247
32,204
186,237
307,229
256,223
260,222
181,242
14,253
314,237
48,253
263,203
290,221
239,189
281,219
161,263
184,239
274,219
5,215
28,196
6,186
193,230
318,197
217,208
289,183
332,216
4,193
295,222
319,198
321,202
334,219
251,180
346,230
173,250
312,234
325,208
16,205
247,224
293,221
340,225
318,250
328,212
265,220
17,239
317,259
311,233
178,245
248,182
318,196
171,252
21,227
26,197
46,263
277,219
270,220
263,221
264,202
200,223
679,204
420,251
548,182
458,188
696,244
692,232
436,247
683,211
695,241
457,255
552,214
534,233
386,211
456,191
537,182
676,199
407,215
457,247
411,252
403,252
675,198
352,235
417,214
370,202
389,212
666,187
700,260
444,202
397,214
698,253
699,259
463,179
699,256
371,245
448,244
378,207
452,195
662,182
531,180
698,251
541,225
689,224
577,190
425,212
697,247
456,263
422,250
367,243
451,196
401,252
589,180
532,235
390,250
449,243
361,240
405,252
677,201
695,240
456,190
695,239
404,215
396,214
686,217
457,249
363,195
697,246
534,181
438,247
382,209
454,241
506,266
574,193
510,261
691,228
353,182
406,215
421,213
457,189
456,262
457,258
578,189
408,252
432,248
507,265
377,247
528,179
450,243
543,182
576,191
538,228
359,191
685,216
383,209
529,238
393,251
381,248
575,192
552,181
695,242
377,207
211,352
61,341
98,345
59,354
122,311
215,345
117,317
91,355
156,269
37,292
64,330
247,314
66,324
37,291
11,278
62,337
311,271
32,319
31,337
147,279
59,352
92,354
237,321
221,336
37,293
290,291
309,274
31,333
59,351
20,277
43,272
234,323
11,284
63,324
292,290
211,353
11,276
97,347
35,303
120,314
291,290
35,302
220,337
286,294
283,295
129,302
45,337
289,292
33,315
111,326
53,330
56,328
52,331
217,341
308,275
296,287
220,338
229,328
42,274
42,276
236,322
44,269
250,312
27,270
11,281
132,298
32,325
115,320
18,279
64,332
141,287
12,267
60,349
268,303
274,300
43,273
42,275
15,283
235,323
217,342
11,271
154,271
32,324
301,282
271,302
34,304
44,268
34,309
252,311
11,282
105,335
32,351
255,309
242,317
55,329
130,300
44,270
11,274
275,300
44,338
489,297
448,301
701,293
478,346
700,302
488,296
451,291
522,344
696,322
563,286
454,276
690,337
501,272
651,353
544,285
598,295
696,320
455,270
491,289
618,306
531,346
682,352
480,354
437,329
694,327
701,288
495,281
691,336
693,330
535,347
477,345
528,345
440,322
701,269
456,267
699,311
606,298
444,313
492,296
652,354
450,294
549,285
539,349
455,272
558,285
609,300
702,281
492,340
489,293
429,345
502,341
688,342
479,352
616,304
454,277
636,322
447,304
454,275
508,290
698,312
530,346
496,294
701,299
532,285
571,287
534,285
505,290
425,353
579,288
451,289
512,288
452,286
694,328
455,273
539,355
490,290
621,308
540,285
499,276
504,341
577,288
445,311
444,314
693,331
701,296
423,355
700,305
693,329
686,345
494,283
491,339
527,345
700,300
648,344
557,285
513,288
481,339
701,271
647,341
647,340
240,432
58,357
275,443
56,369
230,425
57,361
56,379
70,391
56,400
328,436
84,367
55,384
345,429
210,395
255,438
62,406
90,357
207,378
265,441
330,436
207,371
351,426
209,358
290,444
347,428
207,377
88,360
217,410
81,372
287,444
74,384
307,442
316,440
322,438
56,375
71,389
58,360
56,371
208,362
256,439
60,409
56,393
61,408
306,442
308,442
57,366
236,429
57,367
241,432
331,435
237,430
91,356
342,430
253,438
83,369
288,444
279,443
80,373
64,401
57,404
266,441
55,387
268,442
269,442
224,419
232,426
343,430
88,361
61,407
211,398
76,381
338,432
76,380
215,406
74,383
63,403
297,443
252,437
56,394
271,442
78,377
207,367
274,443
299,443
67,397
295,443
257,439
276,443
298,443
229,424
57,403
282,444
294,444
318,439
212,400
68,394
213,404
245,434
270,442
334,434
543,403
545,377
564,401
564,388
405,381
558,386
539,356
556,403
544,403
669,369
487,369
415,367
574,398
535,402
362,419
529,401
361,420
652,357
401,385
667,371
663,375
586,392
539,403
580,395
375,410
567,389
675,362
512,394
533,402
539,361
542,403
656,381
540,368
411,373
583,393
654,374
654,368
654,380
581,395
547,403
670,368
500,385
510,392
679,356
517,396
559,402
403,383
488,371
581,390
